season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2023,11,Hungarian Grand Prix,HUL,Haas F1 Team,10.0,14.0,0.0,Lapped,69.0,16.2,15.657220605106716,3.033150177620619,0,0.2,-4.0,-6.4,0.0,-1.2,5.62,9.839869281045752,-1.0261437908496733,6.0,46.0,19.0,Haas F1 Team,0
2023,12,Belgian Grand Prix,HUL,Haas F1 Team,20.0,18.0,0.0,Finished,44.0,15.6,15.101960682944853,3.1304951684997047,0,0.2,2.0,-7.4,0.0,-1.3,4.999999999999999,10.235294117647058,-1.1928104575163399,6.0,46.0,19.0,Haas F1 Team,0
2023,13,Dutch Grand Prix,HUL,Haas F1 Team,14.0,12.0,0.0,Finished,72.0,16.2,16.071294228467554,3.271085446759224,0,0.2,2.0,-5.4,0.0,-0.7,5.57,9.77124183006536,-0.47058823529411764,6.0,46.0,18.0,Haas F1 Team,0
2023,14,Italian Grand Prix,HUL,Haas F1 Team,13.0,17.0,0.0,Lapped,50.0,15.6,14.711089910484944,3.7815340802378064,0,0.2,-4.0,-3.0,0.0,-0.9,4.9399999999999995,10.110000000000001,-0.010000000000000071,6.0,46.0,18.0,Haas F1 Team,0
2023,15,Singapore Grand Prix,HUL,Haas F1 Team,9.0,13.0,0.0,Finished,62.0,14.8,15.475223286654382,2.5884358211089555,0,0.0,-4.0,-1.2,0.0,-1.3,4.119999999999999,10.794117647058824,-2.2091503267973858,6.0,46.0,18.0,Haas F1 Team,0
2023,16,Japanese Grand Prix,HUL,Haas F1 Team,18.0,14.0,0.0,Lapped,52.0,14.8,14.649310590057565,2.5884358211089555,0,0.0,4.0,-1.6,0.0,-0.2,4.05,10.464052287581701,-0.6666666666666666,6.0,46.0,18.0,Haas F1 Team,0
2023,17,Qatar Grand Prix,HUL,Haas F1 Team,14.0,16.0,0.0,Lapped,56.0,14.8,14.432727177816611,2.5884358211089555,0,0.0,-2.0,0.0,0.0,0.0,3.9299999999999997,10.585714285714285,-0.5285714285714286,6.0,46.0,18.0,Haas F1 Team,0
2023,18,United States Grand Prix,HUL,Haas F1 Team,18.0,11.0,0.0,Finished,56.0,14.4,14.955387220158856,2.07364413533277,0,0.0,7.0,-0.8,0.0,-0.1,3.5,10.437908496732026,-1.196078431372549,6.0,46.0,19.0,Haas F1 Team,0
2023,19,Mexico City Grand Prix,HUL,Haas F1 Team,12.0,13.0,0.0,Finished,71.0,14.2,13.636528194732028,2.3874672772626626,0,0.0,-1.0,0.2,0.0,0.0,3.2399999999999998,9.91503267973856,-0.5490196078431371,6.0,46.0,19.0,Haas F1 Team,0
2023,20,São Paulo Grand Prix,HUL,Haas F1 Team,11.0,12.0,0.0,Lapped,70.0,13.4,13.424309583008892,1.8165902124584927,0,0.0,-1.0,0.8,0.0,-0.7,2.4099999999999997,10.39542483660131,-1.2124183006535947,6.0,46.0,19.0,Haas F1 Team,0
